Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value
Data Source,RAAN10 : TMD : JW_CHANGEBOOMS_RAAN10,Data Source,RAAN10 : TMD : JW_CHANGEBOOMS_RAAN10,Data Source,RAAN10 : TMD : JW_CHANGEBOOMS_RAAN10,Data Source,RAAN10 : TMD : JW_CHANGEBOOMS_RAAN10,Data Source,RAAN10 : TMD : JW_CHANGEBOOMS_RAAN10,Data Source,RAAN10 : TMD : JW_CHANGEBOOMS_RAAN10,Data Source,RAAN10 : TMD : JW_CHANGEBOOMS_RAAN10,Data Source,RAAN10 : TMD : JW_CHANGEBOOMS_RAAN10
Element,9800,Element,9836,Element,9857,Element,9869,Element,Bottom:surface1,Element,Bottom:surface2,Element,WhippleShield:surface1,Element,bafflecylinder:surface2
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature
0.0,58.43297779968687,0.0,38.19371281973514,0.0,56.72863942263478,0.0,61.16224908316097,0.0,26.167393261927028,0.0,134.94461074461697,0.0,52.40922207007314,0.0,7.00606451447487
70.93220520019531,58.35363516491979,70.93220520019531,38.137922814535656,70.93220520019531,56.760721405236794,70.93220520019531,60.96815138664416,70.93220520019531,26.862804434579747,70.93220520019531,134.64513517527973,70.93220520019531,52.37291963301401,70.93220520019531,7.716162424313818
141.86441040039062,58.349851391824416,141.86441040039062,38.105730343306256,141.86441040039062,56.792631848257486,141.86441040039062,60.78317732509408,141.86441040039062,27.46299700890718,141.86441040039062,133.56229326262127,141.86441040039062,52.36300332716827,141.86441040039062,8.824022284872404
212.79661560058594,58.4204220346239,212.79661560058594,38.09788385121533,212.79661560058594,56.824737707971934,212.79661560058594,60.604101462464435,212.79661560058594,28.09425741926808,212.79661560058594,132.44067446408494,212.79661560058594,52.379040696136244,212.79661560058594,10.298859329147955
283.72882080078125,58.56459708406616,283.72882080078125,38.115153776072376,283.72882080078125,56.85740937305434,283.72882080078125,60.429214610327136,283.72882080078125,28.788654740204606,283.72882080078125,131.31482236429653,283.72882080078125,52.42096298880338,283.72882080078125,12.106987499821102
354.66102600097656,58.77811854622893,354.66102600097656,38.158768140595065,354.66102600097656,56.88702721974267,354.66102600097656,60.25483977593514,354.66102600097656,29.300508853784414,354.66102600097656,129.40631492381436,354.66102600097656,52.48557360515733,354.66102600097656,14.075745860259538
425.5932312011719,59.04278812732951,425.5932312011719,38.23055158377688,425.5932312011719,56.89473994583692,425.5932312011719,60.06807350341108,425.5932312011719,29.170505080111766,425.5932312011719,125.66125737421997,425.5932312011719,52.556923334509825,425.5932312011719,15.499699479119657
496.5254364013672,59.35633202077105,496.5254364013672,38.32893199821133,496.5254364013672,56.87832115360837,496.5254364013672,59.86824839493369,496.5254364013672,28.79151670177355,496.5254364013672,121.6404179434986,496.5254364013672,52.632407008462074,496.5254364013672,16.296248848047945
567.4576416015625,59.71858836557838,567.4576416015625,38.45226261449882,567.4576416015625,56.83805840878185,567.4576416015625,59.65579468296166,567.4576416015625,28.221254951670954,567.4576416015625,117.47339309747638,567.4576416015625,52.71167521936562,567.4576416015625,16.514989621326208
638.3898468017578,60.129126477513886,638.3898468017578,38.59912001491681,638.3898468017578,56.77435476015553,638.3898468017578,59.43085900894306,638.3898468017578,27.47587793010305,638.3898468017578,113.12077993191511,638.3898468017578,52.7944585023532,638.3898468017578,16.217772430997698
709.3220520019531,60.57822140253295,709.3220520019531,38.768284743170796,709.3220520019531,56.6967536276252,709.3220520019531,59.19981721818171,709.3220520019531,26.65875392392391,709.3220520019531,106.77956522296174,709.3220520019531,52.882890166853436,709.3220520019531,15.650572955732542
780.2542572021484,61.05942574580371,780.2542572021484,38.959561266407086,780.2542572021484,56.61205535553783,780.2542572021484,58.96694932017483,780.2542572021484,25.63120496718692,780.2542572021484,99.52009695392654,780.2542572021484,52.9785074266653,780.2542572021484,14.981443781978015
851.1864624023438,61.5725087737876,851.1864624023438,39.17301518007334,851.1864624023438,56.52097081692533,851.1864624023438,58.73228627025834,851.1864624023438,24.47946325681414,851.1864624023438,91.80359109553274,851.1864624023438,53.081324633352914,851.1864624023438,14.23366207975939
922.1186676025391,62.11726041608254,922.1186676025391,39.40865239746773,922.1186676025391,56.42403540882768,922.1186676025391,58.49582701185813,922.1186676025391,23.226597337832892,922.1186676025391,83.61268634154034,922.1186676025391,53.191330443757955,922.1186676025391,13.420112899753292
993.0508728027344,62.49799747365067,993.0508728027344,39.57780523845581,993.0508728027344,56.356908779569295,993.0508728027344,58.33730925994591,993.0508728027344,21.846420672677574,993.0508728027344,74.21983902912761,993.0508728027344,53.26852930028708,993.0508728027344,12.567815775058753
1063.9830780029297,62.796448486960514,1063.9830780029297,39.71154387698398,1063.9830780029297,56.306835217850235,1063.9830780029297,58.21704517984866,1063.9830780029297,20.234732163639684,1063.9830780029297,62.798999524313004,1063.9830780029297,53.32868720360081,1063.9830780029297,11.739036728629566
1134.915283203125,63.10590796598785,1134.915283203125,39.851010522650625,1134.915283203125,56.257318560749745,1134.915283203125,58.0957325533431,1134.915283203125,18.46567702243671,1134.915283203125,50.101641944745396,1134.915283203125,53.390729984737234,1134.915283203125,10.934751557871897
1205.8474884033203,63.42633158241129,1205.8474884033203,39.996211635378806,1205.8474884033203,56.20833050463368,1205.8474884033203,57.973408714783055,1205.8474884033203,16.567239228339695,1205.8474884033203,36.02725668905606,1205.8474884033203,53.454678982866625,1205.8474884033203,10.150750727251074
1276.7796936035156,63.83256438885769,1276.7796936035156,40.181296076808025,1276.7796936035156,56.14899574618397,1276.7796936035156,57.82229428610439,1276.7796936035156,14.534512743668502,1276.7796936035156,20.472400131236384,1276.7796936035156,53.535370792713735,1276.7796936035156,9.390732688443363
1347.711898803711,64.49616529365058,1347.711898803711,40.48428060492688,1347.711898803711,56.05360808939385,1347.711898803711,57.57528289052672,1347.711898803711,12.552085702724149,1347.711898803711,6.8698348923717845,1347.711898803711,53.6657075037658,1347.711898803711,8.884974980932832
1418.6441040039062,65.15295391794689,1418.6441040039062,40.78461429266785,1418.6441040039062,55.95956568800803,1418.6441040039062,57.32844133674616,1418.6441040039062,10.719583458428305,1418.6441040039062,-6.208099575980726,1418.6441040039062,53.79293330941186,1418.6441040039062,8.720811282153385
1489.5763092041016,65.80309363027816,1489.5763092041016,41.08244333573392,1489.5763092041016,55.86646852550038,1489.5763092041016,57.08185131222075,1489.5763092041016,8.916361615888155,1489.5763092041016,-20.187714080060502,1489.5763092041016,53.91728755199772,1489.5763092041016,8.861430537879688
1560.5085144042969,66.44671090285168,1560.5085144042969,41.37789366509733,1560.5085144042969,55.77403386220878,1560.5085144042969,56.835640226089566,1560.5085144042969,7.082753622303888,1560.5085144042969,-35.69126418293712,1560.5085144042969,54.038959506014685,1560.5085144042969,9.259793968493153
1631.4407196044922,67.02010392001694,1631.4407196044922,41.64277768103714,1631.4407196044922,55.68263143757352,1631.4407196044922,56.59099956198654,1631.4407196044922,5.33144114005397,1631.4407196044922,-49.603178058450524,1631.4407196044922,54.136305932111924,1631.4407196044922,9.654956468932495
1702.3729248046875,67.39181234246475,1702.3729248046875,41.81898146264823,1702.3729248046875,55.5908247075062,1702.3729248046875,56.346722963199895,1702.3729248046875,4.013966083775285,1702.3729248046875,-57.178029329880495,1702.3729248046875,54.16288008309635,1702.3729248046875,9.602948804342823
1773.3051300048828,67.55579567116827,1773.3051300048828,41.903806470084575,1773.3051300048828,55.49677710458998,1773.3051300048828,56.103758886775026,1773.3051300048828,3.026504090647005,1773.3051300048828,-61.48136473693596,1773.3051300048828,54.116690977302795,1773.3051300048828,9.159420282634153
1844.2373352050781,67.51322226164164,1844.2373352050781,41.89776064901804,1844.2373352050781,55.398558765288755,1844.2373352050781,55.86206072120331,1844.2373352050781,2.2434515403738664,1844.2373352050781,-64.04404179693985,1844.2373352050781,53.99787622270203,1844.2373352050781,8.375870549645096
1915.1695404052734,67.32332286865233,1915.1695404052734,41.82477547403923,1915.1695404052734,55.31216639811619,1915.1695404052734,55.66122415115658,1915.1695404052734,1.5828912210854622,1915.1695404052734,-65.63690184373007,1915.1695404052734,53.8442495780797,1915.1695404052734,7.309887115540249
1986.1017456054688,67.18248081052785,1986.1017456054688,41.769083917764505,1986.1017456054688,55.25844433498456,1986.1017456054688,55.54113741977523,1986.1017456054688,1.0124984959371512,1986.1017456054688,-66.67324881947026,1986.1017456054688,53.74248734897881,1986.1017456054688,6.262151476450351
