Type,Value,Type,Value,Type,Value,Type,Value
Data Source,RAAN10 : TMD : JW_CHANGEBOOMS_RAAN10,Data Source,RAAN10 : TMD : JW_CHANGEBOOMS_RAAN10,Data Source,RAAN10 : TMD : JW_CHANGEBOOMS_RAAN10,Data Source,RAAN10 : TMD : JW_CHANGEBOOMS_RAAN10
Element,Spider:test:M1_MX_C1:surface2,Element,Spider:test:M1_MY_C1:surface2,Element,Spider:test:M1_PX_C1:surface2,Element,Spider:test:M1_PY_C1:surface2
,,,,,,,
,,,,,,,
Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature
0.0,1.5486517109794526,0.0,1.5483767301898734,0.0,1.6263676132397185,0.0,1.6184786271715461
70.93220520019531,1.5507994282878934,70.93220520019531,1.5505043755605168,70.93220520019531,1.6286427437761333,70.93220520019531,1.6207552878712066
141.86441040039062,1.5532600560880399,141.86441040039062,1.5529567782071785,141.86441040039062,1.6312128243463337,141.86441040039062,1.623313506486376
212.79661560058594,1.5561231190811897,212.79661560058594,1.555822342431859,212.79661560058594,1.6341694788048695,212.79661560058594,1.6262459578085657
283.72882080078125,1.559429789249026,283.72882080078125,1.55914217221553,283.72882080078125,1.6375529411252525,283.72882080078125,1.629593131989296
354.66102600097656,1.5631081431370613,354.66102600097656,1.5628396037113514,354.66102600097656,1.6412903185881242,354.66102600097656,1.6332904623570286
425.5932312011719,1.5667810331510916,425.5932312011719,1.5665233980151634,425.5932312011719,1.6450038944286407,425.5932312011719,1.6369854713279166
496.5254364013672,1.5703601381402097,496.5254364013672,1.5701041967937321,496.5254364013672,1.6486042574332336,496.5254364013672,1.6405892639923383
567.4576416015625,1.5737734445044003,567.4576416015625,1.5735088940787714,567.4576416015625,1.6520184300416894,567.4576416015625,1.6440288769950593
638.3898468017578,1.5769579931182243,638.3898468017578,1.5766737411820007,638.3898468017578,1.6551831596061275,638.3898468017578,1.6472407056385263
709.3220520019531,1.5800349447055029,709.3220520019531,1.5797193915393246,709.3220520019531,1.6582256131411912,709.3220520019531,1.650339495366399
780.2542572021484,1.583037122088266,780.2542572021484,1.5826801530957049,780.2542572021484,1.6611844385184797,780.2542572021484,1.6533576326801798
851.1864624023438,1.585947343754351,851.1864624023438,1.5855403289892573,851.1864624023438,1.6640463333367375,851.1864624023438,1.6562796759056855
922.1186676025391,1.5887510129935543,922.1186676025391,1.5882863753228535,922.1186676025391,1.6667993569955881,922.1186676025391,1.6590922180903318
993.0508728027344,1.5911573914286004,993.0508728027344,1.5906306369832464,993.0508728027344,1.669153162136479,993.0508728027344,1.6615022966921018
1063.9830780029297,1.5934255172836707,1063.9830780029297,1.5928155892788185,1063.9830780029297,1.6713450129825338,1063.9830780029297,1.6637636568302174
1134.915283203125,1.5956006149898634,1134.915283203125,1.5948838546382953,1134.915283203125,1.673416125497118,1134.915283203125,1.6659203574997188
1205.8474884033203,1.5976797508566605,1205.8474884033203,1.596831461257616,1205.8474884033203,1.6753613648939245,1205.8474884033203,1.6679685476079753
1276.7796936035156,1.599775454059241,1276.7796936035156,1.5987631300408534,1276.7796936035156,1.6772845409804795,1276.7796936035156,1.6700185881855039
1347.711898803711,1.6018527170988228,1347.711898803711,1.6006838202214893,1347.711898803711,1.6791990463415427,1347.711898803711,1.6720557976942942
1418.6441040039062,1.603751309630858,1418.6441040039062,1.6024524179207271,1418.6441040039062,1.680968109362606,1418.6441040039062,1.673929189301403
1489.5763092041016,1.6054910222680316,1489.5763092041016,1.60408557888955,1489.5763092041016,1.6826092880750503,1489.5763092041016,1.6756592153253198
1560.5085144042969,1.6070908533441564,1560.5085144042969,1.6056000051003714,1560.5085144042969,1.6841398444028,1560.5085144042969,1.6772653626060954
1631.4407196044922,1.60859145935267,1631.4407196044922,1.6070224327716638,1631.4407196044922,1.6855835741046041,1631.4407196044922,1.678781463458672
1702.3729248046875,1.6100233631890495,1702.3729248046875,1.6083757973939283,1702.3729248046875,1.686959269148505,1702.3729248046875,1.6802300499680891
1773.3051300048828,1.6113707660849714,1773.3051300048828,1.6096553195417702,1773.3051300048828,1.6882629082669063,1773.3051300048828,1.6815974946305856
1844.2373352050781,1.6126201683040708,1844.2373352050781,1.610852529811617,1844.2373352050781,1.6894863079370983,1844.2373352050781,1.6828710656276946
1915.1695404052734,1.613688528227974,1915.1695404052734,1.6118883067919967,1915.1695404052734,1.6905485477561968,1915.1695404052734,1.6839659975693635
1986.1017456054688,1.6145893725964935,1986.1017456054688,1.6127713155313754,1986.1017456054688,1.6914578494901982,1986.1017456054688,1.6848945774026962
2057.033950805664,1.6154006146583935,2057.033950805664,1.6135724395242088,2057.033950805664,1.692286288483752,2057.033950805664,1.6857352919725654
2127.9661560058594,1.6161272510873281,2127.9661560058594,1.614293986744476,2127.9661560058594,1.6930358170722666,2127.9661560058594,1.686492454872252
2198.8983612060547,1.616774076803807,2198.8983612060547,1.6149391241380984,2198.8983612060547,1.6937093824517422,2198.8983612060547,1.6871704567893564
2269.83056640625,1.6173454664022966,2269.83056640625,1.6155111892135379,2269.83056640625,1.6943101711389277,2269.83056640625,1.6877734165959557
2340.7627716064453,1.6178454817582042,2340.7627716064453,1.6160135570866558,2340.7627716064453,1.694841450266735,2340.7627716064453,1.6883052289480804
2411.6949768066406,1.6182779110444372,2411.6949768066406,1.6164495485450725,2411.6949768066406,1.6953064617595748,2411.6949768066406,1.6887695700733605
2482.627182006836,1.6186462843594873,2482.627182006836,1.6168223692756125,2482.627182006836,1.6957083530845267,2482.627182006836,1.689169893839976
